ts,ref_temp,real_temp,balcony,cabine
57:34.2,20.8,22,1,1
02:34.2,20.8,21.9,1,1
08:04.2,20.8,21.8,1,1
13:04.2,20.8,21.6,1,1
20:34.2,20.8,21.6,1,0
23:04.2,20.8,21.5,1,0
24:04.2,20.8,21.6,1,0
26:04.2,20.8,21.7,1,0
32:04.2,20.8,21.8,1,0
41:04.2,20.8,21.7,1,0
48:04.2,20.8,21.6,1,0
56:04.2,20.8,21.5,1,0
01:04.2,20.8,21.5,1,1
31:34.2,20.8,21.3,1,1
39:04.2,20.8,21.4,1,1
46:04.2,20.8,21.4,1,0
48:04.2,20.8,21.3,1,0
53:34.2,20.8,21.4,1,0
55:34.2,20.8,21.6,1,0
57:34.2,20.8,21.7,1,0
00:04.2,20.8,21.8,1,0
00:34.2,20.8,22,1,0
01:34.2,20.8,22.1,1,0
07:04.2,20.8,22.3,1,0
09:04.2,20.8,22.4,1,0
12:04.2,20.8,22.5,1,0
18:04.2,20.8,22.6,1,0
30:34.2,20.8,22.8,1,0
53:34.2,20.8,22.9,1,0
04:04.2,20.8,23,1,0
10:04.2,20.8,23,1,1
12:34.2,20.8,23.1,1,1
17:04.2,20.8,23,1,1
20:34.2,20.8,22.9,1,1
28:34.2,20.8,22.8,1,1
44:04.2,20.8,22.6,1,1
07:34.2,20.8,22.6,1,0
12:34.2,20.8,22.5,1,0
15:04.2,20.8,22.6,1,0
24:34.2,20.8,22.7,1,0
38:34.2,20.8,22.8,1,0
52:34.2,20.8,23,1,0
04:34.2,20.8,23.1,1,0
57:34.2,20.8,23,1,0
05:04.2,20.8,23.1,1,0
42:34.2,20.8,23,1,0
47:34.2,20.8,23.1,1,0
51:04.2,20.8,23.1,1,1
52:04.2,20.8,23.2,1,1
54:34.2,20.8,23.1,1,1
05:34.2,20.8,23,1,1
10:04.2,20.8,22.8,1,1
36:04.2,20.8,22.7,1,1
02:04.2,20.8,22.7,1,0
05:34.2,20.8,22.6,1,0
07:34.2,20.8,22.7,1,0
10:34.2,20.8,22.8,1,0
14:34.2,20.8,23,1,0
22:34.2,20.8,23.1,1,0
23:34.2,20.8,23.3,1,0
28:34.2,20.8,23.1,1,0
33:04.2,20.8,23,1,0
40:04.2,20.8,22.9,1,0
46:04.2,20.8,22.8,1,0
02:04.2,20.8,22.6,1,0
03:34.2,20.8,22.8,1,0
07:34.2,20.8,22.8,1,1
16:34.2,20.8,22.9,1,1
30:04.2,20.8,22.8,1,1
14:04.2,20.8,22.6,1,1
23:34.2,22.5,22.6,1,0
30:04.2,22.5,22.5,1,0
34:34.2,22.5,22.7,1,0
37:04.2,22.5,22.8,1,0
48:04.2,22.5,22.9,1,0
14:34.2,22.5,22.9,1,1
20:04.2,22.5,22.9,1,0
27:04.2,22.5,22.9,0,0
29:34.2,22.5,22.9,1,0
17:04.2,23.1,23,0,1
18:21.3,23.1,23,0,0
18:34.3,23.1,23.9,0,0
21:04.2,23.1,23.9,0,0
24:04.2,23.1,23.9,0,1
24:34.2,23.1,23.9,0,0
32:04.2,23.1,24.1,0,0
34:34.2,23.1,24,0,0
42:34.2,23.1,23.9,0,0
49:34.2,23.1,23.8,0,0
57:04.2,23.1,23.8,0,0
59:04.2,23.1,23.8,1,0
05:04.2,23.1,23.6,1,0
09:04.2,23.1,23.5,1,0
10:04.2,23.1,23.5,1,1
11:04.2,23.1,23.4,1,1
14:04.2,23.1,23.3,1,1
16:04.2,23.1,23.1,1,1
24:34.2,23.1,23,1,1
31:34.2,23.1,22.9,1,1
47:34.2,23.1,22.8,1,1
00:34.2,23.1,22.8,1,0
04:04.2,23.1,22.8,1,1
26:04.2,23.1,22.6,1,1
26:34.2,23.1,22.6,1,0
30:04.2,23.1,22.6,1,1
21:34.2,23.1,22.5,1,1
59:34.2,23.1,22.4,1,1
06:34.2,23.1,22.4,1,0
08:34.2,23.1,22.5,1,0
09:04.2,23.1,22.7,1,0
11:34.2,23.1,22.8,1,0
18:34.2,23.1,22.9,1,0
27:04.2,23.1,23.1,0,0
27:34.2,23.1,23.2,0,0
28:34.2,23.1,23.2,1,0
29:34.2,23.1,23.3,1,0
30:34.2,23.1,23.3,0,0
31:04.2,23.1,23.2,0,0
54:34.2,23.1,23.2,0,1
57:04.2,23.1,23.2,0,0
57:34.2,23.1,23.1,0,0
59:34.2,23.1,22.9,0,0
05:34.2,23.1,23.1,0,0
16:34.2,23.1,23.2,0,0
01:34.2,23.1,23.1,0,0
04:04.2,23.1,23.2,0,0
15:34.2,23.1,23.2,0,1
21:04.2,23.1,23.1,0,1
24:34.2,23.1,22.9,0,1
30:34.2,23.1,22.8,0,1
38:04.2,23.1,22.7,0,1
52:04.2,23.1,22.5,0,1
07:34.2,23.1,22.5,0,0
08:04.2,23.1,22.4,0,0
14:04.2,23.1,22.5,0,0
18:34.2,23.1,22.7,0,1
26:34.2,23.1,22.8,0,1
32:04.2,23.1,22.8,0,0
33:04.2,23.1,22.7,0,0
35:34.2,23.1,22.7,0,1
38:34.2,23.1,22.7,0,0
39:34.2,22.5,22.6,1,1
40:53.3,22.5,22.6,0,0
41:04.2,22.5,22.1,0,0
41:34.2,22.5,22.1,0,0
43:04.2,22.5,22.3,0,0
45:34.2,22.5,22.4,0,0
04:04.2,22.5,22.4,0,0
04:34.2,22.5,22.4,0,0
10:04.2,22.5,22.5,0,0
12:34.2,22.5,22.6,0,0
14:34.2,22.5,22.8,0,0
17:34.2,22.5,22.9,0,0
32:34.2,22.5,23,0,0
13:04.2,22.5,23.2,0,0
15:04.2,22.5,23.3,0,0
17:04.2,22.5,23.4,0,0
24:34.2,22.5,23.5,0,0
33:04.2,22.5,23.4,0,0
40:04.2,23.1,23.4,0,0
46:04.2,23.1,23.3,0,0
49:04.2,23.1,23.2,0,0
52:04.2,23.1,23,0,0
53:04.2,23.1,22.9,0,0
57:04.2,23.1,22.8,0,0
00:34.2,23.1,22.7,0,0
03:04.2,23.1,22.5,0,0
06:04.2,23.1,22.4,0,0
09:04.2,23.1,22.3,0,0
13:04.2,23.1,22.2,0,0
17:34.2,23.1,22,0,0
21:34.2,23.1,21.9,0,0
26:34.2,23.1,21.8,0,0
31:34.2,23.1,21.7,0,0
39:34.2,23.1,21.5,0,0
57:04.2,23.1,21.4,0,0
04:04.2,23.1,21.5,0,0
38:04.2,23.1,21.4,0,0
54:34.2,23.1,21.3,0,0
00:04.2,23.1,21.4,0,0
02:34.2,23.1,21.4,1,0
06:04.2,23.1,21.5,1,0
42:34.2,23.1,21.4,1,0
53:34.2,23.1,21.3,1,0
15:34.2,23.1,21.4,1,0
24:04.2,23.1,21.3,1,0
38:34.2,23.1,21.4,1,0
47:04.2,23.1,21.3,1,0
59:04.2,23.1,21.4,1,0
15:34.2,23.1,21.3,1,0
28:34.2,23.1,21.4,1,0
38:34.2,23.1,21.3,1,0
53:34.2,23.1,21.4,1,0
13:34.2,23.1,21.3,1,0
24:34.2,23.1,21.4,1,0
39:34.2,23.1,21.3,1,0
53:34.2,23.1,21.4,1,0
05:34.2,23.1,21.3,1,0
49:34.2,23.1,21.4,1,0
02:34.2,23.1,21.3,1,0
15:34.2,23.1,21.4,1,0
35:04.2,23.1,21.3,1,0
53:04.2,23.1,21.4,1,0
01:04.2,23.1,21.3,1,0
11:04.2,23.1,21.4,1,0
22:34.2,23.1,21.3,1,0
34:34.2,23.1,21.4,1,0
49:34.2,23.1,21.3,1,0
56:04.2,23.1,21.4,1,0
02:04.2,23.1,21.5,1,0
04:04.2,23.1,21.4,1,0
04:34.2,20.8,21.5,1,0
05:04.3,22.5,21.6,1,0
08:04.2,22.5,21.8,1,0
10:34.2,22.5,21.6,1,0
11:34.2,22.5,21.6,0,0
13:04.2,22.5,21.8,0,0
14:04.2,22.5,21.9,0,0
16:04.2,22.5,22,0,0
18:04.2,22.5,22.2,0,0
20:04.2,22.5,22.3,0,0
21:04.2,22.5,22.4,0,0
23:04.2,22.5,22.5,0,0
24:34.2,22.5,22.7,0,0
26:04.2,22.5,22.8,0,0
29:04.2,22.5,22.9,0,0
32:04.2,22.5,23.1,0,0
34:04.2,22.5,23.1,1,0
35:34.2,22.5,23.2,1,0
40:04.2,22.5,23.3,1,0
47:04.2,22.5,23.5,1,0
50:34.2,22.5,23.6,1,0
51:04.2,22.5,23.8,1,0
52:34.2,22.5,23.9,1,0
53:34.2,22.5,23.8,1,0
57:34.2,22.5,23.7,1,0
59:34.2,22.5,23.8,1,0
00:04.2,22.5,23.7,1,0
03:34.2,22.5,23.5,1,0
07:34.2,22.5,23.7,1,0
15:04.2,22.5,23.5,1,0
28:34.2,22.5,23.5,1,1
29:04.2,22.5,23.4,1,1
30:34.2,22.5,23.5,1,1
35:04.2,22.5,23.7,1,1
38:04.2,22.5,23.5,1,1
43:34.2,22.5,23.5,1,0
44:04.3,22.5,23.4,1,0
51:04.2,22.5,23.3,1,0
52:04.2,22.5,23.4,1,0
55:04.2,22.5,23.5,1,0
57:04.2,22.5,23.7,1,0
00:04.2,22.5,23.8,1,0
03:34.2,22.5,23.9,1,0
26:34.2,23.1,23.9,1,0
29:04.2,23.1,23.8,1,0
31:04.2,23.1,24,1,0
42:34.2,23.1,24.1,1,0
44:04.2,23.1,24,1,0
45:34.2,23.1,23.9,1,0
47:34.2,23.1,23.7,1,0
50:34.2,23.1,23.6,1,0
55:04.2,23.1,23.5,1,0
56:34.2,23.1,23.3,1,0
57:34.2,23.1,23.2,1,0
59:34.2,23.1,23.1,1,0
01:34.2,23.1,23,1,0
03:04.2,23.1,22.8,1,0
04:34.2,23.1,22.7,1,0
07:34.2,23.1,22.6,1,0
09:04.2,23.1,22.5,1,0
12:04.2,23.1,22.3,1,0
15:34.2,23.1,22.2,1,0
18:34.2,23.1,22.1,1,0
23:04.2,23.1,21.9,1,0
28:04.2,23.1,21.8,1,0
32:34.2,23.1,21.7,1,0
37:34.2,23.1,21.6,1,0
51:34.2,23.1,21.4,1,0
03:04.2,20.8,21.4,1,0
06:04.2,20.8,21.3,1,0
08:34.2,20.8,21.4,1,0
10:34.2,20.8,21.6,1,0
11:34.2,20.8,21.7,1,0
13:04.2,20.8,21.8,1,0
15:04.2,20.8,22,1,0
17:04.2,20.8,22.1,1,0
18:34.2,20.8,22.2,1,0
20:04.2,20.8,22.3,1,0
21:34.2,20.8,22.5,1,0
23:34.2,20.8,22.6,1,0
27:04.2,20.8,22.6,1,1
36:34.2,20.8,22.8,1,1
47:04.2,20.8,22.6,1,1
58:34.2,20.8,22.5,1,1
12:04.2,20.8,22.4,1,1
17:34.2,20.8,22.4,1,0
19:34.2,20.8,22.3,1,0
23:04.2,20.8,22.4,1,0
24:04.2,20.8,22.5,1,0
32:04.2,20.8,22.7,1,0
36:04.2,20.8,22.8,1,1
45:04.2,20.8,22.7,1,1
54:34.2,20.8,22.5,1,1
10:34.2,20.8,22.4,1,1
39:04.2,20.8,22.3,1,1
41:34.2,20.8,22.2,1,1
19:34.2,20.8,22.2,1,0
22:34.2,20.8,22,1,0
26:34.2,20.8,22.2,1,0
29:04.2,20.8,22.3,1,0
37:34.2,20.8,22.4,1,0
10:34.2,20.8,22.6,1,0
31:04.2,20.8,22.7,1,0
42:34.2,20.8,22.8,1,0
12:34.2,20.8,22.9,1,0
22:34.2,20.8,23.1,1,0
27:04.2,20.8,23.2,1,0
31:34.2,20.8,23.1,1,0
43:34.2,20.8,22.9,1,0
45:04.2,20.8,22.9,1,1
49:34.2,20.8,23.1,1,1
54:04.2,20.8,22.9,1,1
01:34.2,20.8,22.8,1,1
10:34.2,20.8,22.7,1,1
21:34.2,20.8,22.7,1,0
25:34.2,20.8,22.5,1,0
32:34.2,20.8,22.7,1,0
39:34.2,20.8,22.7,1,1
43:04.2,20.8,22.9,1,1
51:34.2,20.8,22.8,1,1
06:04.2,20.8,22.6,1,1
22:04.2,20.8,22.5,1,1
53:34.2,20.8,22.4,1,1
20:34.2,20.8,22.3,1,1
04:34.2,20.8,22.3,1,0
05:04.2,20.8,22.1,1,0
10:34.2,20.8,22,1,0
25:04.2,20.8,22.2,1,0
46:04.2,20.8,22.3,1,0
16:04.2,20.8,22.4,1,0
35:34.2,20.8,22.5,1,0
37:34.2,20.8,22.7,1,0
40:04.2,20.8,22.8,1,0
44:04.2,20.8,22.9,1,0
55:04.2,22.5,22.9,1,0
00:34.2,22.5,23,1,0
02:04.2,22.5,22.9,1,0
05:04.2,22.5,22.8,1,0
09:04.2,22.5,22.7,1,0
12:34.2,22.5,22.5,1,0
15:34.2,22.5,22.4,1,0
18:04.2,22.5,22.3,1,0
23:04.2,22.5,22.2,1,0
26:04.2,22.5,22,1,0
31:34.2,22.5,21.9,1,0
41:34.2,22.5,21.8,1,0
00:34.2,22.5,21.7,1,0
06:04.2,21.3,21.8,0,1
32:44.4,21.3,21.8,0,1
33:12.2,21.3,21.8,0,1
34:12.2,21.3,21.8,0,1
41:12.2,21.3,21.7,0,1
59:42.2,21.3,21.8,0,1
10:12.2,21.3,21.9,0,1
19:12.2,21.3,21.8,0,1
26:12.2,21.3,21.6,0,1
42:12.2,21.3,21.8,0,1
58:42.2,21.3,21.9,0,1
28:42.2,21.3,21.8,0,1
40:12.2,21.3,21.9,0,1
12:42.2,21.3,21.8,0,1
25:12.2,21.3,21.9,0,1
35:12.2,21.3,21.8,0,1
42:12.2,21.3,21.9,0,1
11:42.2,21.3,21.8,0,1
20:12.2,21.3,21.9,0,1
20:42.2,21.3,21.8,0,1
27:12.2,21.3,21.9,0,1
32:12.2,21.3,21.8,0,1
38:42.2,21.3,21.7,0,1
58:42.2,21.3,21.8,0,1
01:42.2,21.3,21.9,0,1
11:42.2,21.3,21.8,0,1
29:42.2,21.3,21.7,0,1
01:42.2,21.3,21.8,0,1
04:42.2,21.3,21.9,0,1
23:12.2,21.3,21.8,0,1
23:42.2,21.9,21.8,0,1
26:12.2,21.9,21.9,0,1
28:42.2,21.9,22,0,1
31:42.2,21.9,22.2,0,1
36:12.2,21.9,22.3,0,1
39:42.2,21.9,22.4,0,1
44:12.2,21.9,22.6,0,1
46:42.2,21.9,22.7,0,1
49:42.2,21.9,22.8,0,1
52:42.2,21.9,22.9,0,1
58:42.2,21.9,23.1,0,1
03:42.2,21.9,23.2,0,1
08:12.2,21.9,23.1,0,1
17:42.2,21.9,23.2,0,1
21:42.2,21.9,23,0,1
30:42.2,21.9,22.9,0,1
37:42.2,21.9,22.8,0,1
39:12.2,21.9,22.8,0,1
47:42.2,21.9,22.7,0,0
58:42.2,21.9,22.7,0,0
01:42.2,21.9,22.5,0,0
03:42.2,21.9,22.8,0,0
08:12.2,21.9,22.9,0,0
17:42.2,21.9,23,0,0
26:12.2,21.9,23.2,0,0
30:42.2,21.9,23.3,0,0
32:42.2,21.9,23.2,0,0
36:42.2,21.9,23.2,1,0
55:42.2,21.9,23.3,1,0
57:42.2,21.9,23.2,1,0
58:12.2,21.9,23.2,1,1
59:42.2,21.9,23,1,1
02:42.2,21.9,22.9,1,1
05:42.2,21.9,22.8,1,0
08:42.2,21.9,22.7,1,0
09:42.2,21.9,22.5,1,0
11:42.2,21.9,22.7,1,0
14:42.2,21.9,22.8,1,0
19:12.2,21.9,22.7,1,0
21:42.2,21.9,22.7,1,1
24:42.2,21.9,22.8,1,1
27:42.2,21.9,22.7,1,1
32:42.2,21.9,22.6,1,1
37:12.2,21.9,22.4,1,1
43:42.2,21.9,22.3,1,1
52:42.2,21.9,22.2,1,1
03:12.2,21.9,22.2,1,0
05:42.2,21.9,22.1,1,0
07:12.2,21.9,22.2,1,0
09:42.2,21.9,22.3,1,0
12:42.2,21.9,22.4,1,0
15:12.2,21.9,22.6,1,0
17:42.2,21.9,22.7,1,0
21:12.2,21.9,22.8,1,0
24:42.2,21.9,22.9,1,0
29:42.2,21.9,23.1,1,0
37:42.2,21.9,22.9,1,1
41:42.2,21.9,22.8,1,1
49:42.2,21.9,22.7,1,1
57:12.2,21.9,22.5,1,1
09:12.2,21.9,22.4,1,1
24:12.2,21.9,22.4,1,0
32:42.2,21.9,22.3,1,0
35:42.2,21.9,22.4,1,0
38:42.2,21.9,22.6,1,0
41:42.2,21.9,22.7,1,0
45:42.2,21.9,22.8,1,0
52:12.2,21.9,22.9,1,0
53:42.2,21.9,23.1,1,0
55:42.2,21.9,22.9,1,1
59:42.2,21.9,22.8,1,1
06:42.2,21.9,22.7,1,1
13:12.2,21.9,22.5,1,1
24:12.2,21.9,22.4,1,1
53:42.2,21.9,22.3,1,1
15:12.2,21.9,22.2,1,1
54:12.2,21.9,22,1,1
39:42.2,21.9,22,1,0
40:12.2,21.9,21.9,1,0
42:12.2,21.9,21.9,1,0
43:42.2,21.9,21.8,1,0
45:42.2,21.9,21.8,0,0
46:42.2,21.9,22,0,0
57:12.2,21.9,22.1,0,0
23:42.2,21.9,22.3,0,0
36:12.2,21.9,22.4,0,0
49:12.2,21.9,22.5,0,0
55:42.2,21.9,22.6,0,0
22:42.2,21.9,22.8,0,0
26:42.2,21.9,22.8,0,1
35:42.2,21.9,22.9,0,1
48:12.2,21.9,22.8,0,1
58:12.2,21.9,22.6,0,1
08:12.2,21.9,22.5,0,0
17:12.2,21.9,22.4,0,0
25:42.2,21.9,22.4,0,1
38:42.2,21.9,22.4,0,0
50:12.2,21.9,22.4,0,1
02:42.2,21.9,22.5,0,1
05:42.2,21.9,22.5,0,0
22:42.2,21.9,22.4,0,0
24:12.2,21.9,22.5,0,0
38:42.2,21.9,22.6,0,0
42:42.2,21.9,22.8,0,0
45:42.2,21.9,22.9,0,0
50:42.2,21.9,23.1,0,0
57:12.2,21.9,23.2,0,0
59:42.2,21.9,23.3,0,0
02:12.2,21.9,23.2,0,0
05:12.2,21.9,23.1,0,0
08:42.2,21.9,22.9,0,0
13:42.2,21.9,22.8,0,0
18:12.2,21.9,22.7,0,0
39:42.2,21.9,22.5,0,0
46:12.2,22.5,22.5,0,0
53:12.2,22.5,22.4,0,0
55:12.2,22.5,22.3,0,0
01:12.2,22.5,22.2,0,0
06:12.2,22.5,22,0,0
09:12.2,22.5,21.9,0,0
14:42.2,22.5,21.8,0,0
54:42.2,22.5,21.7,0,0
24:42.2,22.5,21.8,0,0
27:42.2,22.5,21.9,0,0
32:12.2,22.5,21.8,0,0
21:12.2,22.5,21.7,0,0
58:42.2,22.5,21.8,0,0
48:12.2,21.3,21.8,0,0
52:42.2,21.3,21.7,0,0
55:12.2,21.3,21.8,0,0
57:12.2,21.3,21.9,0,0
57:42.2,21.3,22.1,0,0
58:12.2,21.3,22.2,0,0
59:12.2,21.3,22.3,0,0
02:42.2,21.3,22.5,0,0
03:12.2,21.3,22.6,0,0
08:12.2,21.3,22.8,0,0
11:12.2,21.3,22.9,0,0
16:42.2,21.3,23.1,0,0
27:12.2,21.3,23.2,0,0
35:12.2,21.3,23.3,0,0
40:42.3,21.3,23.2,0,0
46:42.2,21.3,23.2,0,1
47:12.2,21.3,23.1,0,1
51:12.2,21.3,22.9,0,1
54:12.2,21.3,22.8,0,1
57:12.2,21.3,22.7,0,1
03:12.2,21.3,22.5,0,1
10:12.2,21.3,22.4,0,1
12:12.2,21.3,22.4,0,0
13:12.2,21.3,22.3,0,0
16:12.2,21.3,22.3,0,1
24:42.2,21.3,22.2,0,1
28:42.2,21.3,22.2,0,0
52:12.2,21.3,22,0,0
53:12.2,21.3,22.2,0,0
56:12.2,21.3,22.3,0,0
02:12.2,21.3,22.4,0,0
03:42.2,21.3,22.4,0,1
08:12.2,21.3,22.3,0,1
18:42.2,21.3,22.2,0,1
30:12.2,21.3,22,0,1
05:42.2,21.3,21.9,0,1
18:42.2,21.3,22,0,1
18:42.2,21.3,22,0,0
19:12.2,21.3,21.9,0,0
21:12.2,21.3,22,0,0
24:12.2,21.3,21.9,0,0
26:12.2,21.3,22,0,0
31:12.2,21.3,22.2,0,0
32:12.2,21.3,22.2,1,0
36:42.2,21.3,22.3,1,0
39:12.2,21.3,22.4,1,0
46:12.2,21.3,22.4,1,1
48:42.2,21.3,22.5,1,1
52:42.2,21.3,22.4,1,1
58:42.2,21.3,22.3,1,1
03:12.2,21.3,22.1,1,1
11:42.2,21.3,22,1,1
13:42.2,21.3,22,1,0
17:42.2,21.3,21.9,1,0
23:42.2,21.3,22,1,0
30:12.2,21.3,22.1,1,0
34:12.2,21.3,22.1,1,1
35:42.2,21.3,22.3,1,1
47:12.2,21.3,22.1,1,1
26:12.2,21.3,22.1,1,0
26:42.2,22.5,22.1,1,0
33:42.2,22.5,22,1,0
35:42.2,22.5,22.1,1,0
37:12.2,22.5,22.3,1,0
39:12.2,22.5,22.4,1,0
41:42.2,22.5,22.5,1,0
43:42.2,22.5,22.6,1,0
47:42.2,22.5,22.8,1,0
52:42.2,22.5,22.9,1,0
05:12.2,22.5,23,1,0
08:12.2,22.5,23.1,1,0
14:12.2,22.5,23.3,1,0
14:42.2,22.5,23.4,1,0
15:12.2,22.5,23.3,1,0
18:12.2,22.5,23.3,1,1
24:42.2,22.5,23.1,1,1
28:42.2,22.5,23,1,1
31:42.2,22.5,22.9,1,1
36:42.2,22.5,22.8,1,1
42:42.2,22.5,22.6,1,1
29:42.2,22.5,22.5,1,1
34:42.2,22.5,22.5,1,0
49:42.2,22.5,22.6,1,0
54:12.2,22.5,22.8,1,0
05:12.2,22.5,22.7,1,0
35:12.2,22.5,22.6,1,0
37:12.2,22.5,22.7,1,0
41:42.2,22.5,22.7,1,1
43:12.2,22.5,22.8,1,1
46:12.2,22.5,22.8,1,0
54:42.2,22.5,22.8,1,1
58:12.2,22.5,22.7,1,1
42:12.2,22.5,22.7,1,0
48:12.2,22.5,22.7,1,1
02:12.2,22.5,22.6,1,1
08:12.2,22.5,22.4,1,1
02:12.2,22.5,22.4,1,0
13:42.2,23.1,22.4,1,0
20:42.2,23.1,22.6,1,0
23:42.2,23.1,22.4,1,0
26:12.2,23.1,22.3,1,0
31:42.2,23.1,22.1,1,0
34:12.2,23.1,22,1,0
38:42.2,23.1,21.9,1,0
43:42.2,23.1,21.8,1,0
25:42.2,23.1,21.6,1,0
47:12.2,23.1,21.8,1,0
58:12.2,23.1,21.9,1,0
04:42.2,23.1,21.8,1,0
38:42.2,23.1,21.6,1,0
10:12.2,23.1,21.8,1,0
01:12.2,23.1,21.9,1,0
10:42.2,23.1,21.8,1,0
37:42.2,23.1,21.6,1,0
39:12.2,23.1,21.8,1,0
56:12.2,23.1,21.6,1,0
34:12.2,23.1,21.8,1,0
51:12.2,23.1,21.6,1,0
23:12.2,23.1,21.8,1,0
42:42.2,23.1,21.6,1,0
44:42.2,23.1,21.8,1,0
46:42.2,23.1,21.9,1,0
49:42.2,23.1,22,1,0
55:42.2,23.1,22.2,1,0
00:12.2,23.1,22.3,1,0
06:12.2,23.1,22.5,1,0
09:42.2,23.1,22.6,1,0
19:12.2,23.1,22.8,1,0
24:12.2,21.3,22.8,1,0
27:42.2,21.3,22.9,1,0
32:42.2,21.3,23,1,0
36:42.2,21.3,23.2,1,0
38:12.2,21.3,23,1,0
40:12.2,21.3,22.9,1,1
43:12.2,21.3,22.8,1,1
46:12.2,21.3,22.7,1,1
49:42.2,21.3,22.5,1,1
54:12.2,21.3,22.4,1,1
57:42.2,21.3,22.3,1,1
05:42.2,21.3,22.2,1,1
15:12.2,21.3,22,1,1
17:12.2,21.3,22,1,0
24:12.2,21.3,21.9,1,0
24:42.2,21.3,21.9,0,0
26:42.2,21.3,21.9,1,0
33:42.2,21.3,22,1,0
34:42.2,21.3,22.2,1,0
41:12.2,21.3,22.3,1,1
53:42.2,21.3,22.2,1,1
05:42.2,21.3,22.2,1,0
07:42.2,21.3,22,1,0
09:42.2,21.3,21.9,1,0
16:42.2,21.3,21.9,1,1
19:12.2,21.3,22,1,1
27:12.2,21.3,22,1,0
34:42.2,21.3,22.2,1,0
37:42.2,21.3,22.3,1,0
46:12.2,21.3,22.3,1,1
51:42.2,21.3,22.4,1,1
56:42.2,21.3,22.3,1,1
02:42.2,21.3,22.1,1,1
31:12.2,21.3,22.1,1,0
31:42.2,21.3,22,1,0
34:42.2,21.3,22,1,1
37:42.2,21.3,21.9,1,1
59:42.2,21.3,21.9,1,0
